genres,app_name,release_date,id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
"Action, Casual, Indie, Simulation, Strategy",Lost Summoner Kitty,2018,761140,Kotoshiro,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"Free to Play, Indie, RPG, Strategy",Ironbound,2018,643980,Secret Level SRL,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
"Casual, Free to Play, Indie, Simulation, Sports",Real Pool 3D - Poolians,2017,670290,Poolians.com,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Action, Adventure, Casual",弹炸人2222,2017,767400,彼岸领域,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action, Adventure, Simulation",Battle Royale Trainer,2018,772540,Trickjump Games Ltd,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Free to Play, Indie, Simulation, Sports",SNOW - All Access Basic Pass,2018,774276,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Free to Play, Indie, Simulation, Sports",SNOW - All Access Pro Pass,2018,774277,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Free to Play, Indie, Simulation, Sports",SNOW - All Access Legend Pass,2018,774278,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Casual, Indie, Racing, Simulation",Race,2018,768800,RewindApp,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"Action, Indie, Simulation, Early Access",Uncanny Islands,2012,768570,Qucheza,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Action, Adventure, Casual, Indie, RPG",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,770380,Stegalosaurus Game Development,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Casual, Indie",Beach Rules,2018,768880,Copperpick Studio,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Casual, Indie, Simulation",Planetarium 2 - Zen Odyssey,2018,765320,Ghulam Jewel,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God,2018,773650,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"Free to Play, Indie, Simulation, Sports",SNOW - Starter Pack,2018,774271,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God - All Aircrafts,2018,773690,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"Free to Play, Indie, Simulation, Sports",SNOW - Lifetime Pack,2018,774279,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Action, Adventure, Indie",The Warrior Of Treasures,2018,768060,Tero Lunkka,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Racing, Simulation, Sports",RC Plane 3 - Canyon Scenario,2017,775880,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Racing, Simulation, Sports",RC Plane 3 - F-53B,2017,775881,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Action, Indie",DinoBlaster,2018,653960,Casey Labrack,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Action, Indie, Racing",Carmageddon Max Pack,1997,282010,Stainless Games Ltd,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
